Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
22-Jun-20,Van Vleck Paint Shop,Matagorda,Gulf Coast WDA,10,21-Aug-20,23-Jun-20,Bay City
22-Jun-20,Clute Fabrication Shop,Brazoria,Gulf Coast WDA,46,21-Aug-20,23-Jun-20,Clute
22-Jun-20,Bradshaw State Jail,Rusk,East Texas WDA,229,3-Jul-20,22-Jun-20,Henderson
17-Jun-20,Pounds Photo Lab,Dallas,Dallas County WDA,61,1-Jul-20,18-Jun-20,Dallas
15-Jun-20,Adeputs Health dba FCER Management LLC,Dallas,Dallas County WDA,96,15-Aug-20,18-Jun-20,Irving
15-Jun-20,Hyatt Regency DFW,Tarrant,Tarrant County WDA,210,22-Mar-20,15-Jun-20,DFW Airport
12-Jun-20,Hyatt Corp dba Miraval Austin Wellness Resort & Spa,Travis,Capital Area WDA,137,22-Mar-20,12-Jun-20,Austin
12-Jun-20,Hyatt Regency - Austin,Travis,Capital Area WDA,224,15-Mar-20,12-Jun-20,Austin
11-Jun-20,Grand Hyatt San Antonio,Bexar,Alamo WDA,271,22-Mar-20,12-Jun-20,San Antonio
11-Jun-20,Owens-Corning - Amarillo,Randall,Panhandle WDA,205,5-Aug-20,11-Jun-20,Amarillo
11-Jun-20,Hotel Contessa,Bexar,Alamo WDA,84,13-Jun-20,11-Jun-20,San Antonio
8-Jun-20,Hyatt Regency - Houston,Fort Bend,Gulf Coast WDA,260,22-Mar-20,9-Jun-20,Houston
8-Jun-20,Ritz Carlton - Dallas,Dallas,Dallas County WDA,365,14-Mar-20,8-Jun-20,Dallas
5-Jun-20,"Seadrill Americas, Inc.",Harris,Gulf Coast WDA,135,16-Jun-20,8-Jun-20,Houston
4-Jun-20,Gaylord - Grapevine,Tarrant,Tarrant County WDA,1426,16-Mar-20,5-Jun-20,Grapevine
6/1/2020,Sound Inpatient Physicians Inc.,Tarrant,Tarrant County WDA,33,6/1/2020,6/3/2020,Westlake
6/1/2020,Echo Locum Tenens Inc.,Tarrant,Tarrant County WDA,13,6/1/2020,6/3/2020,Westlake
6/1/2020,"GE Engine Services, L.P.",Hidalgo,Lower Rio Grande Valley WDA,257,6/12/2020,6/1/2020,McAllen
6/1/2020,Turner Industries-Corpus Christi,Nueces,Coastal Bend WDA,40,6/25/2020,6/3/2020,Corpus Ch
6/1/2020,St. Regis Houston,Fort Bend,Gulf Coast WDA,180,3/21/2020,6/3/2020,Houston
5/31/2020,Jim's Formal Wear,Guadalupe,Alamo WDA,44,3/20/2020,4/15/2020,Seguin
5/29/2020,Renaissance Hotel,Travis,Capital Area WDA,243,3/21/2020,5/29/2020,Austin
5/29/2020,Collins Aerospace,Harris,Gulf Coast WDA,144,7/31/2020,5/28/2020,Houston
5/29/2020,Allied Aviation-Southlake,Tarrant,Tarrant County WDA,50,4/20/2020,5/29/2020,Southlake
5/29/2020,85C Bakery-Katy,Harris,Gulf Coast WDA,1,6/12/2020,5/29/2020,Katy
5/29/2020,Live by Loews,Tarrant,Tarrant County WDA,153,5/27/2020,5/29/2020,Arlington
5/29/2020,Holiday Inn Club Vacations-Pantego,Tarrant,Tarrant County WDA,307,5/21/2020,5/29/2020,Pantego
5/29/2020,85 C Bakery Café,Harris,Gulf Coast WDA,9,6/12/2020,5/29/2020,Friendswood
5/28/2020,Benchmark Electronics,Brazoria,Gulf Coast WDA,190,1/1/2021,5/29/2020,Angleton
5/27/2020,ECFMG-Clinical Skills Exam,Harris,Gulf Coast WDA,103,6/12/2020,5/29/2020,Houston
5/26/2020,First Texas Hospital Cy-Fair,Harris,Gulf Coast WDA,62,7/26/2020,5/29/2020,Houston
5/22/2020,Sheraton Austin,Travis,Capital Area WDA,99,5/21/2020,5/27/2020,Austin
5/22/2020,ProPetro-Coil Tubing Operations,Midland,Permian Basin WDA,32,5/27/2020,5/29/2020,Midland
5/22/2020,"Laz Parking Texas, LLC",Dallas,Dallas County WDA,310,3/8/2020,5/29/2020,Dallas
5/22/2020,The Moran at City Center,Harris,Gulf Coast WDA,47,5/22/2020,5/29/2020,Houston
5/21/2020,"Texas Steel Conversion, Inc.",Harris,Gulf Coast WDA,491,6/15/2020,5/29/2020,Houston
5/21/2020,Marriott City Place-Spicewood Village,Harris,Gulf Coast WDA,33,3/27/2020,5/29/2020,Spring
5/18/2020,XPO Logistics-Jacomson Warehouse,Dallas,Dallas County WDA,243,7/17/2020,5/20/2020,Dallas
5/14/2020,Cactus Wellhead,Ector,Permian Basin WDA,14,5/14/2020,5/14/2020,Odessa
5/14/2020,Allied Aviation-Houston,Harris,Gulf Coast WDA,77,4/20/2020,5/14/2020,Houston
5/14/2020,St Edwards University,Travis,Capital Area WDA,95,5/31/2020,5/18/2020,Austin
5/12/2020,Hydraulic Fracturing Facility,Midland,Permian Basin WDA,392,12-May-20,12-May-20,Midland
5/12/2020,James Avery -Fredericksburg,Gillespie,Alamo WDA,82,12-Jul-20,12-May-20,Fredericksburg
5/11/2020,"UTLX Manufacturing, Inc.",Harris,Gulf Coast WDA,278,10-Jul-20,12-May-20,Houston
5/7/2020,Saulsbury Industries-Odessa,Ector,Permian Basin WDA,3,22-May-20,13-May-20,Odessa
5/7/2020,"Saulsbury Industries, Inc.",Ector,Permian Basin WDA,12,11-May-12,13-May-20,Odessa
5/7/2020,Saulsbury Industries-Henderson,Rusk,East Texas WDA,58,21-May-20,13-May-20,Henderson
5/5/2020,Southwestern & Pacific #6972,Harris,Gulf Coast WDA,1,4/21/2020,5/5/2020,Spring
5/4/2020,Haliburton Energy Services-N. Sam Houston,Harris,Gulf Coast WDA,984,5/4/2020,5/5/2020,Houston
5/4/2020,Outback #4424,Jefferson,South East Texas WDA,65,3/15/2020,5/4/2020,Beaumont
5/4/2020,Covia-Crane,Crane,Permian Basin WDA,23,5/4/2020,5/4/2020,Crane
5/4/2020,Covia Corp-Kermit,Winkler,Permian Basin WDA,83,5/4/2020,5/4/2020,Kermit
5/1/2020,Cactus Wellhead,Ector,Permian Basin WDA,32,5/1/2020,5/4/2020,Odessa
5/1/2020,US Steel Tubular Products - Hughes Springs,Cass,North East Texas WDA,55,5/10/2020,5/5/2020,Hughes Springs
4/30/2020,Havertys Furniture-Coppell,Dallas,Dallas County WDA,57,4/30/2020,5/4/2020,Coppell
4/30/2020,Carpenter Tech-Amega West,Harris,Gulf Coast WDA,79,6/29/2020,5/4/2020,Houston
4/29/2020,Halliburton,Gregg,East Texas WDA,233,4/29/2020,4/29/2020,Kilgore
4/29/2020,Regal Cinema-Richmond,Fort Bend,Gulf Coast WDA,91,3/17/2020,5/4/2020,Richmond
4/29/2020,TechnipFMC CO. - Odessa,Ector,Permian Basin WDA,140,4/15/2020,5/1/2020,Odessa
4/29/2020,Regal Cinema-Tomball,Harris,Borderplexjobs WDA,88,3/17/2020,5/4/2020,Tomball
4/29/2020,Regal Cinema-Katy Frwy,Harris,Gulf Coast WDA,86,3/17/2020,5/4/2020,Houston
4/29/2020,Regal Cinema-Houston,Harris,Gulf Coast WDA,82,3/17/2020,5/4/2020,Houston
4/28/2020,Halliburton-Interwood,Harris,Gulf Coast WDA,9,4/28/2020,4/30/2020,Houston
4/28/2020,Southwestern & Pacific #2969,Polk,Deep East Texas WDA,1,4/21/2020,5/5/2020,Livingston
4/28/2020,Southwestern & Pacific #6772,Cameron,Cameron County WDA,1,4/21/2020,5/5/2020,Harlingen
4/28/2020,Easy Gardener Products Inc.,McLennan,Heart of Texas WDA,50,6/30/2020,4/29/2020,Waco
4/28/2020,"SW & Pacific #	6741",Bexar,Alamo WDA,1,4/21/2020,5/4/2020,San Antonio
4/28/2020,"Jet Specialty, Inc.",Nueces,Coastal Bend WDA,75,7/2/2020,4/29/2020,Corpus Ch
4/28/2020,Haliburton Energy-Interwood Pkwy,Harris,Gulf Coast WDA,9,4/28/2020,5/1/2020,Houston
4/28/2020,Hailburton Energy-Heathrow Forest,Harris,Gulf Coast WDA,8,4/28/2020,5/1/2020,Houston
4/28/2020,"IPC Industries, LP",Galveston,Gulf Coast WDA,109,3/19/2020,5/1/2020,Santa Fe
4/28/2020,Southwestern & Pacific #6925,Hill,Heart of Texas WDA,1,4/21/2020,5/7/2020,Hillsboro
4/28/2020,Enterprise Holdings-Airport,Bexar,Alamo WDA,135,4/30/2020,5/4/2020,San Antonio
4/28/2020,Enterprise Holdings-Eastern St,Bexar,Alamo WDA,146,4/30/2020,5/4/2020,San Antonio
4/28/2020,"Enterprise Holdings, LLC",Bexar,Alamo WDA,30,4/30/2020,5/4/2020,San Antonio
4/28/2020,Outback Steakhouse #4470,El Paso,Borderplexjobs WDA,59,4/27/2020,4/29/2020,El Paso
4/28/2020,Southwestern & Pacific #3014,Fort Bend,Gulf Coast WDA,1,4/21/2020,5/5/2020,Houston
4/28/2020,Southwestern & Pacific #6749,Bexar,Alamo WDA,1,4/21/2020,5/4/2020,San Antonio
4/28/2020,Southwestern & Pacific #6812,Fort Bend,Gulf Coast WDA,1,4/21/2020,5/5/2020,Houston
4/28/2020,Southwestern & Pacific #6800,Harris,Gulf Coast WDA,1,4/21/2020,5/5/2020,Humble
4/28/2020,Southwestern & Pacific #6787,Harris,Gulf Coast WDA,1,4/21/2020,5/5/2020,Pasadena
4/28/2020,Southwestern & Pacific #6786,Fort Bend,Gulf Coast WDA,1,4/21/2020,5/5/2020,Houston
4/28/2020,Southwestern & Pacific #6851,Victoria,Golden Crescent WDA,1,4/21/2020,5/5/2020,Victoria
4/28/2020,Southwestern & Pacific #6915,Harrison,East Texas WDA,1,4/21/2020,5/5/2020,Marshall
4/28/2020,Southwestern & Pacific #6884,Henderson,East Texas WDA,1,4/21/2020,5/5/2020,Gun Barrel City
4/28/2020,Southwestern & Pacific #6757,Henderson,East Texas WDA,1,4/21/2020,5/5/2020,Athens
4/28/2020,Southwestern & Pacific #6969,Gregg,East Texas WDA,1,4/21/2020,5/5/2020,Longview
4/28/2020,Southwestern & Pacific #6886,Dallas,Dallas County WDA,1,4/21/2020,5/5/2020,Dallas
4/28/2020,Southwestern & Pacific   #6825,Walker,Gulf Coast WDA,1,4/21/2020,5/5/2020,Huntsville
4/28/2020,Southwestern & Pacific #6979,Brazoria,Gulf Coast WDA,1,4/21/2020,5/5/2020,Lake Jackson
4/28/2020,Southwestern & Pacific #6836,Cameron,Cameron County WDA,1,4/21/2020,5/5/2020,San Benito
4/28/2020,Southwestern & Pacific #6883,Kerr,Alamo WDA,1,4/21/2020,5/4/2020,Kerrville
4/28/2020,Southwestern & Pacific #6829,Dallas,Dallas County WDA,1,4/21/2020,5/5/2020,Garland
4/28/2020,Southwestern & Pacific #6839,Comal,Alamo WDA,1,4/21/2020,5/4/2020,New Braunfels
4/28/2020,Southwestern & Pacific #6810,Cameron,Cameron County WDA,1,4/21/2020,5/5/2020,Brownsville
4/28/2020,Southwestern & Pacific #2995,Cameron,Cameron County WDA,1,4/21/2020,5/5/2020,Brownsville
4/28/2020,Southwestern & Pacific #6926,Brazos,Brazos Valley WDA,1,4/21/2020,5/5/2020,Bryan
4/28/2020,Southwestern & Pacific #6815,Dallas,Dallas County WDA,1,4/21/2020,5/5/2020,Lancaster
4/28/2020,Southwestern & Pacific #6761,Nueces,Coastal Bend WDA,1,4/21/2020,5/5/2020,Corpus Christi
4/28/2020,Southwestern & Pacific #6818,Jim Wells,Coastal Bend WDA,1,4/21/2020,5/5/2020,Alice
4/28/2020,Southwestern & Pacific #6765,Dallas,Dallas County WDA,1,4/21/2020,5/5/2020,Grand Prairie
4/28/2020,Southwestern & Pacific #6745,Limestone,Heart of Texas WDA,1,4/21/2020,5/7/2020,Mexia
4/28/2020,Southwestern & Pacific #6981,Tom Green,Concho Valley WDA,1,4/21/2020,5/5/2020,San Angelo
4/27/2020,Carrabba's #9416,Fort Bend,Gulf Coast WDA,76,3/15/2020,5/4/2020,Houston
4/27/2020,Carrabba's #9415,Fort Bend,Gulf Coast WDA,66,3/15/2020,5/4/2020,Houston
4/27/2020,Carrabba's #4407,Harris,Gulf Coast WDA,75,3/15/2020,5/4/2020,Webster
4/27/2020,Carrabba's #4406,Montgomery,Gulf Coast WDA,74,3/15/2020,5/4/2020,The Woodlands
4/27/2020,Outback #4420,Fort Bend,Gulf Coast WDA,70,3/15/2020,5/4/2020,Stafford
4/27/2020,Carrabba's #4401,Fort Bend,Gulf Coast WDA,63,3/15/2020,5/4/2020,Houston
4/27/2020,Outback #4460,Smith,East Texas WDA,74,3/15/2020,5/4/2020,Tyler
4/27/2020,Outback #4434,Montgomery,Gulf Coast WDA,56,3/15/2020,5/4/2020,Shenandoah
4/27/2020,Carrabba's #4404,Fort Bend,Gulf Coast WDA,69,3/15/2020,5/4/2020,Sugar Land
4/27/2020,Carrabba's #4402,Fort Bend,Gulf Coast WDA,62,3/15/2020,5/4/2020,Houston
4/27/2020,Carrabba's #9421,Fort Bend,Gulf Coast WDA,86,3/15/2020,5/4/2020,Katy
4/27/2020,Fleming's #5403,Fort Bend,Gulf Coast WDA,42,,5/4/2020,Houston
4/27/2020,Fleming's #5404,Montgomery,Gulf Coast WDA,49,3/15/2020,5/4/2020,The Woodlands
4/27/2020,Outback #4413,Fort Bend,Gulf Coast WDA,77,3/15/2020,5/4/2020,Houston
4/27/2020,Outback #4430,Harris,Gulf Coast WDA,62,3/15/2020,5/4/2020,Baytown
4/27/2020,Outback #4435,Fort Bend,Gulf Coast WDA,70,3/15/2020,5/4/2020,Houston
4/27/2020,Outback #4410,Harris,Gulf Coast WDA,61,3/15/2020,5/4/2020,Humble
4/27/2020,Outback #4412,Harris,Gulf Coast WDA,64,3/15/2020,5/4/2020,Webster
4/27/2020,Outback #4467,Gregg,East Texas WDA,67,3/15/2020,5/4/2020,Longview
4/27/2020,Outback #4418,Brazos,Brazos Valley WDA,61,3/15/2020,5/1/2020,College Station
4/27/2020,Outback #4414,Montgomery,Gulf Coast WDA,57,3/15/2020,5/4/2020,Conroe
4/27/2020,Fleming's #5407,Fort Bend,Gulf Coast WDA,53,3/15/2020,5/4/2020,Houston
4/27/2020,Outback #4469,Bell,Central Texas WDA,73,3/15/2020,5/4/2020,Killeen
4/27/2020,Cardone Industries-Robstown,Cameron,Cameron County WDA,183,4/27/2020,4/27/2020,Brownsville
4/27/2020,Cameron International-Corpus Christi,Nueces,Coastal Bend WDA,6,4/22/2020,4/29/2020,Corpus Ch
4/27/2020,Cameron International-Kennedy,Austin,Alamo WDA,45,5/22/2020,4/29/2020,Kenney
4/27/2020,Outback #4416,Fort Bend,Gulf Coast WDA,79,3/15/2020,5/4/2020,Katy
4/27/2020,Carrabba's #4405,Bexar,Alamo WDA,79,3/15/2020,5/1/2020,San Antonio
4/27/2020,Outback #4423,Bexar,Alamo WDA,61,3/15/2020,5/1/2020,San Antonio
4/27/2020,Outback #4426,Bexar,Alamo WDA,65,3/15/2020,5/1/2020,San Antonio
4/27/2020,Outback #4442,Bexar,Alamo WDA,76,3/15/2020,5/1/2020,Selma
4/27/2020,"Total Airport Services, LLC",Harris,Gulf Coast WDA,68,4/24/2020,5/1/2020,Houston
4/27/2020,Fleming's #5402,Travis,Capital Area WDA,37,3/15/2020,5/1/2020,Austin
4/27/2020,Outback #4425,Nueces,Coastal Bend WDA,59,3/15/2020,5/4/2020,Corpus Christi
4/27/2020,Outback #4422,Travis,Capital Area WDA,56,3/15/2020,5/1/2020,Austin
4/27/2020,Outback #4433,Angelina,Deep East Texas WDA,55,3/15/2020,5/4/2020,Lufkin
4/27/2020,Fleming's #5405,Bexar,Alamo WDA,54,3/15/2020,5/1/2020,San Antonio
4/27/2020,Outback #4473,Tom Green,Concho Valley WDA,72,3/15/2020,5/4/2020,San Angelo
4/27/2020,Carrabba's #9412,Dallas,Dallas County WDA,52,3/15/2020,5/4/2020,Dallas
4/27/2020,Outback #4453,Dallas,Dallas County WDA,56,3/15/2020,5/4/2020,Irving
4/27/2020,Outback #4428,Harris,Gulf Coast WDA,64,3/15/2020,5/4/2020,Pasadena
4/27/2020,Carrabba's #4403,Travis,Capital Area WDA,53,3/15/2020,5/1/2020,Austin
4/27/2020,Outback #4454,Dallas,Dallas County WDA,57,3/15/2020,5/4/2020,Mesquite
4/27/2020,Outback #4456,Dallas,Dallas County WDA,60,3/15/2020,5/4/2020,Dallas
4/27/2020,Outback #4458,Dallas,Dallas County WDA,63,3/15/2020,5/4/2020,Addison
4/27/2020,Outback #4476,Dallas,Dallas County WDA,64,3/15/2020,5/4/2020,Garland
4/27/2020,Fleming's #5406,Travis,Capital Area WDA,59,3/15/2020,5/1/2020,Austin
4/27/2020,Outback #4464,Lubbock,South Plains WDA,67,3/15/2020,5/4/2020,Lubbock
4/27/2020,Outback #4457,Collin,North Central Texas WDA,60,3/15/2020,5/4/2020,Plano
4/27/2020,Outback #4461,Denton,North Central Texas WDA,56,3/15/2020,5/4/2020,Lewisville
4/27/2020,Outback #4466,Denton,North Central Texas WDA,74,3/15/2020,5/4/2020,Denton
4/27/2020,Outback #4477,Collin,North Central Texas WDA,82,3/15/2020,5/4/2020,Frisco
4/27/2020,Outback #4478,Johnson,North Central Texas WDA,69,3/15/2020,5/4/2020,Burleson
4/27/2020,Outback #4471,Bowie,North East Texas WDA,56,3/15/2020,5/4/2020,Texarkana
4/27/2020,Outback #4463,Potter,Panhandle WDA,76,3/15/2020,5/4/2020,Amarillo
4/27/2020,Outback #4429,Hays,Rural Capital WDA,72,3/15/2020,5/4/2020,San Marcos
4/27/2020,Fleming's #5408,Collin,North Central Texas WDA,57,3/15/2020,5/4/2020,Plano
4/27/2020,Outback #4441,Williamson,Rural Capital WDA,44,3/15/2020,5/4/2020,Round Rock
4/27/2020,Outback #4462,Midland,Permian Basin WDA,75,3/15/2020,5/4/2020,Midland
4/27/2020,Outback #4475,Dallas,Borderplexjobs WDA,63,3/15/2020,5/4/2020,DeSoto
4/27/2020,Carrabba's #9410,Jefferson,South East Texas WDA,79,3/15/2020,5/4/2020,Beaumont
4/27/2020,Outback #4451,Tarrant,Tarrant County WDA,67,3/15/2020,5/4/2020,Fort Worth
4/27/2020,Outback #4452,Tarrant,Tarrant County WDA,79,3/15/2020,5/4/2020,Hurst
4/27/2020,Outback #4459,Tarrant,Tarrant County WDA,76,3/15/2020,5/4/2020,Arlington
4/27/2020,Outback #4474,Jones,West Central WDA,51,3/15/2020,5/4/2020,Abilene
4/27/2020,Outback #4455,Tarrant,Tarrant County WDA,75,3/15/2020,5/4/2020,Euless
4/27/2020,Carrabba's #9419,Tarrant,Tarrant County WDA,49,3/15/2020,5/4/2020,Hurst
4/27/2020,Bonefish #904,Denton,Tarrant County WDA,40,3/15/2020,5/4/2020,Southlake
4/27/2020,Carrabba's #9414,Collin,North Central Texas WDA,43,3/15/2020,5/4/2020,Plano
4/27/2020,Bonefish #912,Collin,North Central Texas WDA,50,3/15/2020,5/4/2020,Allen
4/27/2020,Core Laboratories-Owen Oil Tools,Johnson,North Central Texas WDA,244,5/6/2020,5/4/2020,Godley
4/27/2020,Outback #4468,McLennan,Heart of Texas WDA,62,3/15/2020,5/4/2020,Waco
4/25/2020,CP Energy-N. Big Spring,Midland,Permian Basin WDA,2,5/3/2020,4/28/2020,Midland
4/24/2020,North American Dental Group - Flower Mound,Denton,North Central Texas WDA,12,3/23/2020,4/24/2020,Flower Mound
4/24/2020,Liberty Oilfield,Guadalupe,Alamo WDA,89,4/27/2020,4/29/2020,Cibolo
4/23/2020,Haliburton Energy-Burleson,Tarrant,Tarrant County WDA,36,4/23/2020,4/24/2020,Burleson
4/23/2020,Go Rentals,Fort Bend,Gulf Coast WDA,4,3/21/2020,4/23/2020,Houston
4/23/2020,Signal Peak Silica -Poteet,Atascosa,Alamo WDA,72,6/12/2020,4/24/2020,Poteet
4/23/2020,Go Rentals - Austin,Travis,Capital Area WDA,7,3/21/2020,4/23/2020,Austin
4/23/2020,Go Rentals - Atlantic,Collin,Dallas County WDA,1,3/21/2020,4/23/2020,Addison
4/23/2020,CP Energy-S County Rd 1200,Midland,Permian Basin WDA,15,5/3/2020,4/28/2020,Midland
4/23/2020,CP Energy-Hwy 285,Midland,Permian Basin WDA,9,5/3/2020,4/28/2020,Midland
4/23/2020,Go Rentals - Monroe Rd,Fort Bend,Gulf Coast WDA,1,3/21/2020,4/23/2020,Houston
4/23/2020,Go Rentals - Westgrove,Collin,Dallas County WDA,4,3/21/2020,4/23/2020,Addison
4/23/2020,Nextier Completion-Robston,Nueces,Coastal Bend WDA,82,4/23/2020,4/27/2020,Robstown
4/23/2020,Go Rentals - McKinney,Collin,North Central Texas WDA,1,3/21/2020,4/23/2020,McKinney
4/23/2020,Go Rentals - Ft. Worth,Tarrant,Tarrant County WDA,4,3/21/2020,4/23/2020,Ft. Worth
4/22/2020,"Magic Leap, LLc",Collin,Gulf Coast WDA,8,6/21/2020,4/29/2020,McKinney
4/22/2020,ATCO Structures,Angelina,Deep East Texas WDA,90,3/13/2020,4/28/2020,Diboll
4/22/2020,Pappas Seafood House (Aldine Bender),Harris,Gulf Coast WDA,113,3/22/2020,4/22/2020,Houston
4/22/2020,"Magic Leap, LLC-Austin",Travis,Capital Area WDA,15,6/21/2020,4/29/2020,Austin
4/22/2020,Cactus Wellhead,Ector,Permian Basin WDA,184,4/3/2020,4/28/2020,Odessa
4/21/2020,Southwestern & Pacific #6736,Bexar,Alamo WDA,1,4/21/2020,5/4/2020,San Antonio
4/21/2020,Epi Breads,Dallas,Dallas County WDA,238,4/21/2020,4/24/2020,Dallas
4/21/2020,"Energy Transfer, LP-SEC Energy Products",Harris,Gulf Coast WDA,95,5/1/2020,4/21/2020,Houston
4/21/2020,Enterprise Offshore-White Fleet Drilling,Harris,Gulf Coast WDA,76,3/19/2020,4/21/2020,Houston
4/20/2020,Hilton Garden Inn-Willowbrook,Harris,Gulf Coast WDA,44,4/16/2020,4/20/2020,Houston
4/20/2020,Haliburton Energy Services-Monahans,Ward,Permian Basin WDA,15,4/20/2020,4/22/2020,Monahans
